# id> internal counter
# ope_call_id> internal foreign key for ope_calls structure. Each represents one call. Relation 1:1 to ope_calls
# ope_wup_question_id> id of predefined call type - what is customer asking for (no custom possible)
# ope_wup_answer_id> id of predefined answeres to that question (no custom possible)
# created_ad, updated_at> timestamp of database insert

"id","ope_call_id","ope_wup_question_id","ope_wup_answer_id","created_at","updated_at"
"537","312407","5","3","2014-03-28 12:06:00","2014-03-28 12:06:00"
"539","312459","3","3","2014-03-28 12:06:24","2014-03-28 12:06:24"
"541","312589","3","7","2014-03-28 12:07:30","2014-03-28 12:07:30"
"543","312513","7","9","2014-03-28 12:07:56","2014-03-28 12:07:56"
"545","312725","3","3","2014-03-28 12:08:46","2014-03-28 12:08:46"
"547","312709","5","7","2014-03-28 12:09:23","2014-03-28 12:09:23"
"549","312535","7","9","2014-03-28 12:09:38","2014-03-28 12:09:38"
"551","312899","7","9","2014-03-28 12:10:14","2014-03-28 12:10:14"
"553","312887","3","7","2014-03-28 12:10:27","2014-03-28 12:10:27"
"555","312845","1","1","2014-03-28 12:10:49","2014-03-28 12:10:49"
"557","313003","5","3","2014-03-28 12:11:42","2014-03-28 12:11:42"
"559","312993","3","7","2014-03-28 12:11:50","2014-03-28 12:11:50"
"561","313051","5","7","2014-03-28 12:12:33","2014-03-28 12:12:33"
"563","313141","5","7","2014-03-28 12:12:49","2014-03-28 12:12:49"
"565","313127","3","3","2014-03-28 12:12:52","2014-03-28 12:12:52"
"567","313269","5","3","2014-03-28 12:13:48","2014-03-28 12:13:48"
"569","313363","3","7","2014-03-28 12:14:21","2014-03-28 12:14:21"
"571","313395","3","7","2014-03-28 12:14:54","2014-03-28 12:14:54"
"573","313471","11","13","2014-03-28 12:15:02","2014-03-28 12:15:02"
"575","313295","5","3","2014-03-28 12:15:09","2014-03-28 12:15:09"
"577","313453","5","3","2014-03-28 12:16:49","2014-03-28 12:16:49"
"579","313513","5","3","2014-03-28 12:17:05","2014-03-28 12:17:05"
"581","313629","5","7","2014-03-28 12:17:12","2014-03-28 12:17:12"
"583","313743","11","13","2014-03-28 12:17:35","2014-03-28 12:17:35"
"585","313737","5","7","2014-03-28 12:18:00","2014-03-28 12:18:00"
"587","313611","5","7","2014-03-28 12:18:47","2014-03-28 12:18:47"
"591","313821","5","3","2014-03-28 12:19:13","2014-03-28 12:19:13"
"593","313669","1","1","2014-03-28 12:20:03","2014-03-28 12:20:03"
"595","313925","3","3","2014-03-28 12:20:17","2014-03-28 12:20:17"
"597","314059","3","3","2014-03-28 12:20:33","2014-03-28 12:20:33"
"599","314053","5","3","2014-03-28 12:20:35","2014-03-28 12:20:35"
"601","314145","3","3","2014-03-28 12:21:33","2014-03-28 12:21:33"
"603","314149","3","7","2014-03-28 12:21:33","2014-03-28 12:21:33"
"605","314283","11","13","2014-03-28 12:22:42","2014-03-28 12:22:42"
"607","314109","1","1","2014-03-28 12:23:04","2014-03-28 12:23:04"
"609","314343","5","7","2014-03-28 12:23:10","2014-03-28 12:23:10"
"611","314431","1","1","2014-03-28 12:23:41","2014-03-28 12:23:41"
"613","314461","5","3","2014-03-28 12:23:53","2014-03-28 12:23:53"
"615","314555","3","7","2014-03-28 12:24:50","2014-03-28 12:24:50"
"617","314451","5","7","2014-03-28 12:25:00","2014-03-28 12:25:00"
"619","314585","5","3","2014-03-28 12:25:38","2014-03-28 12:25:38"
"621","314663","5","7","2014-03-28 12:26:39","2014-03-28 12:26:39"
"623","314683","5","7","2014-03-28 12:26:50","2014-03-28 12:26:50"
"625","314719","5","3","2014-03-28 12:27:16","2014-03-28 12:27:16"
"627","314859","3","3","2014-03-28 12:27:51","2014-03-28 12:27:51"
"629","314873","5","3","2014-03-28 12:28:50","2014-03-28 12:28:50"
"631","314845","5","3","2014-03-28 12:29:02","2014-03-28 12:29:02"
"633","314845","5","5","2014-03-28 12:29:06","2014-03-28 12:29:06"
"635","315063","11","17","2014-03-28 12:30:08","2014-03-28 12:30:08"
"637","315121","3","7","2014-03-28 12:30:52","2014-03-28 12:30:52"
"639","315121","5","3","2014-03-28 12:31:14","2014-03-28 12:31:14"
"641","315321","5","3","2014-03-28 12:32:12","2014-03-28 12:32:12"
"643","315429","5","7","2014-03-28 12:33:40","2014-03-28 12:33:40"
"645","315429","5","3","2014-03-28 12:33:43","2014-03-28 12:33:43"
"647","315303","11","17","2014-03-28 12:34:24","2014-03-28 12:34:24"
"649","315197","5","3","2014-03-28 12:36:33","2014-03-28 12:36:33"
"651","315835","3","3","2014-03-28 12:37:04","2014-03-28 12:37:04"
"653","315541","7","9","2014-03-28 12:39:35","2014-03-28 12:39:35"
"655","315541","5","3","2014-03-28 12:40:12","2014-03-28 12:40:12"
"657","315949","5","19","2014-03-28 12:40:27","2014-03-28 12:40:27"
"659","315899","11","17","2014-03-28 12:40:47","2014-03-28 12:40:47"
"661","316225","5","3","2014-03-28 12:42:50","2014-03-28 12:42:50"
"663","316419","11","17","2014-03-28 12:43:31","2014-03-28 12:43:31"
"665","316337","7","9","2014-03-28 12:44:03","2014-03-28 12:44:03"
"667","316505","11","17","2014-03-28 12:44:29","2014-03-28 12:44:29"
"669","316567","3","7","2014-03-28 12:45:28","2014-03-28 12:45:28"
"671","316475","5","5","2014-03-28 12:47:17","2014-03-28 12:47:17"
"673","316831","3","7","2014-03-28 12:50:06","2014-03-28 12:50:06"
"675","317249","3","3","2014-03-28 12:51:24","2014-03-28 12:51:24"
"677","317173","11","17","2014-03-28 12:51:37","2014-03-28 12:51:37"
"679","317249","3","7","2014-03-28 12:52:08","2014-03-28 12:52:08"
"681","317361","5","3","2014-03-28 12:53:10","2014-03-28 12:53:10"
"683","317583","3","3","2014-03-28 12:54:31","2014-03-28 12:54:31"
"685","317427","3","7","2014-03-28 12:55:04","2014-03-28 12:55:04"
"687","317619","5","7","2014-03-28 12:55:05","2014-03-28 12:55:05"
"689","317723","5","7","2014-03-28 12:55:29","2014-03-28 12:55:29"
"691","317823","5","3","2014-03-28 12:56:00","2014-03-28 12:56:00"
"693","317841","7","9","2014-03-28 12:56:05","2014-03-28 12:56:05"
"695","317899","7","9","2014-03-28 12:56:17","2014-03-28 12:56:17"
"697","317909","5","7","2014-03-28 12:56:52","2014-03-28 12:56:52"
"699","318069","11","17","2014-03-28 12:58:14","2014-03-28 12:58:14"
"701","318037","5","7","2014-03-28 12:58:14","2014-03-28 12:58:14"
"703","317783","5","7","2014-03-28 12:58:30","2014-03-28 12:58:30"
"705","318079","5","7","2014-03-28 12:58:34","2014-03-28 12:58:34"
"707","318169","5","3","2014-03-28 12:59:30","2014-03-28 12:59:30"
"709","318209","5","3","2014-03-28 12:59:37","2014-03-28 12:59:37"
"711","318209","5","7","2014-03-28 12:59:40","2014-03-28 12:59:40"
"713","318195","3","7","2014-03-28 13:00:30","2014-03-28 13:00:30"
"715","318395","5","7","2014-03-28 13:01:06","2014-03-28 13:01:06"
"717","318379","5","7","2014-03-28 13:01:21","2014-03-28 13:01:21"
"719","318433","1","1","2014-03-28 13:01:42","2014-03-28 13:01:42"
"721","318521","3","3","2014-03-28 13:02:01","2014-03-28 13:02:01"
"723","318497","3","3","2014-03-28 13:02:22","2014-03-28 13:02:22"
"725","318555","3","3","2014-03-28 13:02:49","2014-03-28 13:02:49"
"727","318555","3","7","2014-03-28 13:02:55","2014-03-28 13:02:55"
"729","318593","3","7","2014-03-28 13:03:10","2014-03-28 13:03:10"
"731","318565","7","9","2014-03-28 13:03:32","2014-03-28 13:03:32"
"733","318703","5","7","2014-03-28 13:04:30","2014-03-28 13:04:30"
"735","318713","7","9","2014-03-28 13:04:41","2014-03-28 13:04:41"
"737","318699","7","9","2014-03-28 13:05:03","2014-03-28 13:05:03"
"739","318841","3","7","2014-03-28 13:05:25","2014-03-28 13:05:25"
"741","318823","7","9","2014-03-28 13:05:39","2014-03-28 13:05:39"
"743","318871","3","3","2014-03-28 13:06:02","2014-03-28 13:06:02"
"745","318679","1","1","2014-03-28 13:06:32","2014-03-28 13:06:32"
"747","319017","3","3","2014-03-28 13:06:38","2014-03-28 13:06:38"
"749","319001","3","7","2014-03-28 13:07:26","2014-03-28 13:07:26"
"751","318913","5","7","2014-03-28 13:07:27","2014-03-28 13:07:27"
"753","319053","5","7","2014-03-28 13:07:52","2014-03-28 13:07:52"
"755","319027","3","3","2014-03-28 13:08:07","2014-03-28 13:08:07"
"757","319209","3","7","2014-03-28 13:08:47","2014-03-28 13:08:47"
"759","319187","5","7","2014-03-28 13:09:04","2014-03-28 13:09:04"
"761","319271","11","17","2014-03-28 13:09:39","2014-03-28 13:09:39"
"763","319367","5","7","2014-03-28 13:10:34","2014-03-28 13:10:34"
"765","319135","3","7","2014-03-28 13:10:52","2014-03-28 13:10:52"
"767","319471","3","3","2014-03-28 13:11:08","2014-03-28 13:11:08"
"769","319501","7","9","2014-03-28 13:11:38","2014-03-28 13:11:38"
