# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"173","c69929f2ca093534a176f0417b469b97","80099","line 2","2014-03-14 18:38:36","NULL","NULL","2014-03-14 18:38:33","2014-03-14 18:38:33","NULL"
"175","d8c9d88cfe974cad73998ba9d103790d","80104","line 3","2014-03-14 18:38:36","NULL","NULL","2014-03-14 18:38:34","2014-03-14 18:38:34","NULL"
"177","d2462e8f15be563c3c8b8954e5162d65","80506","line 3","2014-03-14 18:39:01","NULL","NULL","2014-03-14 18:38:59","2014-03-14 18:38:59","NULL"
"179","9ae4744b220b90ca9877a8db6eb4253a","80134","line 2","2014-03-14 18:39:31","NULL","NULL","2014-03-14 18:39:29","2014-03-14 18:39:29","NULL"
"181","8c08ffbdfa8bd42aa80c166340c3bc49","80039","line 4","2014-03-14 18:39:31","NULL","NULL","2014-03-14 18:39:29","2014-03-14 18:39:29","NULL"
"183","80d9f7b4a288d7f28016d968166cfb12","80104","line 1","2014-03-14 18:39:40","NULL","NULL","2014-03-14 18:39:38","2014-03-14 18:39:38","NULL"
"185","800ece434f7c4a768d4dc34d1df511da","80277","line 2","2014-03-14 18:39:42","NULL","NULL","2014-03-14 18:39:40","2014-03-14 18:39:40","NULL"
"187","04f326dfc176d112947b9e06b6e55bca","80117","line 2","2014-03-14 18:39:50","NULL","NULL","2014-03-14 18:39:48","2014-03-14 18:39:48","NULL"
"189","05221a2e80c3f98288f14ffa36cfc1e4","80509","line 1","2014-03-14 18:39:52","NULL","NULL","2014-03-14 18:39:49","2014-03-14 18:39:49","NULL"
"191","629de350e128201293b099aaa89260de","80447","line 2","2014-03-14 18:39:52","NULL","NULL","2014-03-14 18:39:50","2014-03-14 18:39:50","NULL"
"193","a2aa431f1231233b9181effe0fa6a853","80527","line 2","2014-03-14 18:40:02","NULL","NULL","2014-03-14 18:39:56","2014-03-14 18:39:56","NULL"
"195","1f9dc59a80ab176edb5928aa99c93e18","80099","line 2","2014-03-14 18:40:20","NULL","NULL","2014-03-14 18:40:18","2014-03-14 18:40:18","NULL"
"197","106d34b4805cc168901461abe8b897cd","80506","line 2","2014-03-14 18:40:51","NULL","NULL","2014-03-14 18:40:49","2014-03-14 18:40:49","NULL"
"199","300fce496deb8ec68bafc96facf8fcbf","80134","line 1","2014-03-14 18:41:10","NULL","NULL","2014-03-14 18:41:08","2014-03-14 18:41:08","NULL"
"201","2ec50ae3882861aa3dbfedab56fe09f6","80099","line 2","2014-03-14 18:41:20","NULL","NULL","2014-03-14 18:41:18","2014-03-14 18:41:18","NULL"
"203","009381dfccd265c04a9f9b54ea72d76b","80509","line 1","2014-03-14 18:41:27","NULL","NULL","2014-03-14 18:41:23","2014-03-14 18:41:23","NULL"
