# call_id> Primární klíč. Pokud je 40 znaků dlouhý, hovor nemá v ostatních tabulkách vazby. Pokud je 20 znaků dlouhý, existují vazební data v ostatních out.c tabulkách
# length> Délka hovoru v sekundách
# from> hash volajícího čísla
# to> pokud je hodnota 1xxxx, jedná se o příchozí hovor a ID znamená číslo linky. Pokud je hodnota 8xxxx, je to ID konkrétního operátora (zvedače).
# international> zda jde o mezinárodní volání
# time_block> časový blok, kdy došlo k uskutečnění hovoru
# service_id> id služby na kterou zákazník volá
# length_9>
# length_C>
# length_O>
# length_7>
# operator> telefonní operátor (O2, T-mobile...)
# ope_agent> z ope_calls
# ope_line> z ope_calls
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled>
# ivr>
# time_segment_id>
# length_B>
# transferred_external> zda došlo k přepojení hovoru

"call_id","length","from","to","international","time_block","service_id","length_9","length_C","length_O","length_7","operator","ope_agent","ope_line","wup_question_id","wup_answer_id","cancelled","ivr","time_segment_id","length_B","transferred_external"
"1000007302551405007718218094942498133000","465","fbc215141d9771c2c2aec365cf37721f","11885","0","2013-11-12 07:30:00","6","465","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000007458506128128913431300572612997313","39","2d4509e8d024098fafc221f910d2879f","11884","0","2014-04-23 10:45:00","6","39","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"10000075865932126432819334043336678558","102","b49daf12fced091b0f481e1303ca0a6f","80166","0","2012-07-05 19:00:00","NULL","102","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000767536016045181254923826928113170","150","a61ec4506294ff02a3b6bedd8320aa97","80149","0","2012-11-19 11:45:00","NULL","150","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000007698415528544910643328466863482842","72","28c3c42e4d2949889153b59d8a3553d0","80106","0","2012-12-28 03:45:00","NULL","72","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000007806617313542710499802309154376571","78","6e6df2a30037b0cf7dcb22d3439bac37","80110","0","2013-06-03 13:00:00","NULL","78","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000007844297577488212259744671421970071","128","f8ba37eb347b0b0973b3b210d6be6cfa","11885","0","2014-04-15 11:30:00","6","128","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000816932766644521019665591561897083","69","bae2943c003171f44289dd527aacc678","80451","0","2012-12-04 17:00:00","NULL","69","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000826918287150554199003809202247612","157","462b9302f8fe69c63cbd425c8d37c5dc","80494","0","2013-05-15 13:00:00","NULL","157","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000828280720035010539105453871210351","102","f8f23af7ceb04b8215db6a8937315de8","11885","0","2013-12-18 18:15:00","6","102","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
